CustomerId,CustomerCompanyName,OrderId,OrderDate
42,Customer IAIJK,10810,2016-01-01
55,Customer KZQZT,10808,2016-01-01
88,Customer SRQVM,10809,2016-01-01
66,Customer LHANT,10812,2016-01-02
47,Customer PSQUZ,10811,2016-01-02
67,Customer QVEPD,10813,2016-01-05
71,Customer LCOUJ,10815,2016-01-05
84,Customer NRCSK,10814,2016-01-05
39,Customer GLLAG,10817,2016-01-06
32,Customer YSIQX,10816,2016-01-06
12,Customer PSNMQ,10819,2016-01-07
65,Customer NYUHS,10820,2016-01-07
49,Customer CQRAA,10818,2016-01-07
82,Customer EYHKM,10822,2016-01-08
75,Customer XOJYP,10821,2016-01-08
17,Customer FEVNN,10825,2016-01-09
24,Customer CYZTN,10824,2016-01-09
46,Customer XPNIK,10823,2016-01-09
7,Customer QXVLA,10826,2016-01-12
9,Customer RTXGC,10827,2016-01-12
38,Customer LJUCA,10829,2016-01-13
81,Customer YQQWW,10830,2016-01-13
64,Customer LWGMD,10828,2016-01-13
70,Customer TMXGN,10831,2016-01-14
41,Customer XIIWM,10832,2016-01-14
1,Customer NRZBB,10835,2016-01-15
81,Customer YQQWW,10834,2016-01-15
56,Customer QNIVZ,10833,2016-01-15
5,Customer HGVLZ,10837,2016-01-16
20,Customer THHDP,10836,2016-01-16
47,Customer PSQUZ,10838,2016-01-19
47,Customer PSQUZ,10840,2016-01-19
81,Customer YQQWW,10839,2016-01-19
80,Customer VONTK,10842,2016-01-20
76,Customer SFOGW,10841,2016-01-20
84,Customer NRCSK,10843,2016-01-21
59,Customer LOLJO,10844,2016-01-21
63,Customer IRRVL,10845,2016-01-21
76,Customer SFOGW,10846,2016-01-22
71,Customer LCOUJ,10847,2016-01-22
84,Customer NRCSK,10850,2016-01-23
39,Customer GLLAG,10849,2016-01-23
16,Customer GYBBY,10848,2016-01-23
65,Customer NYUHS,10852,2016-01-26
67,Customer QVEPD,10851,2016-01-26
55,Customer KZQZT,10855,2016-01-27
20,Customer THHDP,10854,2016-01-27
6,Customer XHXJV,10853,2016-01-27
5,Customer HGVLZ,10857,2016-01-28
3,Customer KBUDE,10856,2016-01-28
25,Customer AZJED,10859,2016-01-29
26,Customer USDBG,10860,2016-01-29
40,Customer EFFTC,10858,2016-01-29
44,Customer OXFRU,10862,2016-01-30
89,Customer YBQTI,10861,2016-01-30
63,Customer IRRVL,10865,2016-02-02
35,Customer UMTLM,10863,2016-02-02
4,Customer HFBZG,10864,2016-02-02
5,Customer HGVLZ,10866,2016-02-03
48,Customer DVFMB,10867,2016-02-03
62,Customer WFIZJ,10868,2016-02-04
91,Customer CCFIZ,10870,2016-02-04
72,Customer AHPOP,10869,2016-02-04
30,Customer KSLQF,10872,2016-02-05
9,Customer RTXGC,10871,2016-02-05
5,Customer HGVLZ,10875,2016-02-06
30,Customer KSLQF,10874,2016-02-06
90,Customer XBBVR,10873,2016-02-06
67,Customer QVEPD,10877,2016-02-09
9,Customer RTXGC,10876,2016-02-09
24,Customer CYZTN,10880,2016-02-10
63,Customer IRRVL,10878,2016-02-10
90,Customer XBBVR,10879,2016-02-10
71,Customer LCOUJ,10882,2016-02-11
12,Customer PSNMQ,10881,2016-02-11
48,Customer DVFMB,10883,2016-02-12
45,Customer QXPPT,10884,2016-02-12
76,Customer SFOGW,10885,2016-02-12
34,Customer IBVRG,10886,2016-02-13
29,Customer MDLWA,10887,2016-02-13
30,Customer KSLQF,10888,2016-02-16
18,Customer BSVAR,10890,2016-02-16
65,Customer NYUHS,10889,2016-02-16
50,Customer JYPSC,10892,2016-02-17
44,Customer OXFRU,10891,2016-02-17
39,Customer GLLAG,10893,2016-02-18
20,Customer THHDP,10895,2016-02-18
71,Customer LCOUJ,10894,2016-02-18
50,Customer JYPSC,10896,2016-02-19
37,Customer FRXZL,10897,2016-02-19
46,Customer XPNIK,10899,2016-02-20
54,Customer TDKEG,10898,2016-02-20
88,Customer SRQVM,10900,2016-02-20
35,Customer UMTLM,10901,2016-02-23
24,Customer CYZTN,10902,2016-02-23
34,Customer IBVRG,10903,2016-02-24
